129;Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 2. Другие нарушения ПДД водителями 9. Нарушение требований сигналов светофора 2.  4. Неправильный выбор дистанции 30. Нарушение правил расположения ТС на проезжей части 4. Нарушение правил перестроения 5. Несоблюдение очередности проезда 2. Несоблюдение бокового интервала 1. Выезд на полосу встречного движения 2. Иные нарушения ПДД пешеходом 1. Нарушение правил проезда пешеходного перехода 1. Отказ водителя от прохождения медицинского освидетельствования на состояние опьянения 1. Нарушение правил остановки и стоянки 1. Иные нарушения ПДД пассажирами 1. ;66;(55.7, 37.5);84.0;1.0;134.0;187.0;{'Пешеходная инфраструктура': 4, 'Деятельность органов власти в сфере безопасности дорожного движения': 1, 'Дорожные знаки и светофоры': 3, 'Дорожная разметка': 3}
134;Неправильный выбор дистанции 8. Выезд на полосу встречного движения в местах, где это запрещено 2. Нарушение правил проезда пешеходного перехода 5. Несоблюдение бокового интервала 7. Несоответствие скорости конкретным условиям движения 2. Нарушение требований дорожных знаков 6. Выезд на полосу встречного движения с разворотом 1. поворотом налево или объездом препятствия 1. Нарушение правил перестроения 3. Нахождение на проезжей части без цели её перехода 1. Несоблюдение очередности проезда 1. Другие нарушения ПДД водителями 1. Нарушение правил расположения ТС на проезжей части 2. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. ;41;(45.1, 38.9);58.0;3.0;75.0;126.0;{'Дорожные знаки и светофоры': 1}
139;Иные нарушения ПДД пешеходом 2. Другие нарушения ПДД водителями 6. Выезд на полосу встречного движения 3. Несоответствие скорости конкретным условиям движения 1. Неправильный выбор дистанции 5. Нахождение на проезжей части без цели её перехода 1. ;18;(54.0, 37.4);16.0;11.0;29.0;76.0;{'Качество дорожного покрытия': 1, 'Дорожная разметка': 1}
142;Неправильный выбор дистанции 45. Несоответствие скорости конкретным условиям движения 26. Выезд на полосу встречного движения 5. Нарушение правил перестроения 31. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 2. Нахождение на проезжей части без цели её перехода 1. Несоблюдение очередности проезда 3. Иные нарушения ПДД пассажирами 1. Несоблюдение бокового интервала 1. Нарушение правил расположения ТС на проезжей части 1. Несоблюдение условий 1. разрешающих движение транспорта задним ходом 1. Оставление движущегося транспортного средства (выход или выпрыгивание на ходу и т.д.) 1. Нарушение правил проезда пешеходного перехода 2. Нарушения правил пользования общественным транспортом 1. Другие нарушения ПДД водителями 1. Нарушение требований линий разметки 1.  1. Переход проезжей части в запрещённом месте (оборудованном пешеходными ограждениями) 1. ;126;(55.7, 37.3);162.0;10.0;266.0;391.0;{'Дорожная разметка': 1}
144;Неправильный выбор дистанции 6. Нарушение требований сигналов светофора 1. Иные нарушения ПДД пешеходом 1. Несоблюдение очередности проезда 6. Несоответствие скорости конкретным условиям движения 9. Нарушение правил проезда пешеходного перехода 1. Нарушение правил перестроения 2. Выезд на полосу встречного движения 3. Другие нарушения ПДД водителями 4. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Нарушение правил расположения ТС на проезжей части 3. Несоблюдение бокового интервала 1. ;38;(60.0, 30.4);52.0;1.0;74.0;137.0;{'Дорожные знаки и светофоры': 2, 'Пешеходная инфраструктура': 1, 'Качество дорожного покрытия': 2}
147;Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Неожиданный выход из-за стоящего ТС 1. ;2;(55.8, 48.4);2.0;1.0;2.0;4.0;{'Пешеходная инфраструктура': 1}
153;Нарушение правил перестроения 2. Неправильный выбор дистанции 4. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 2. Нарушение требований дорожных знаков 2. Несоблюдение очередности проезда 3. Выезд на полосу встречного движения с разворотом 1. поворотом налево или объездом препятствия 1. Выезд на полосу встречного движения в местах, где это запрещено 2. Нарушение правил проезда пешеходного перехода 6. Выезд на полосу встречного движения 1. Нарушение правил расположения ТС на проезжей части 2. Неожиданный выход из-за сооружений (деревьев) 1. ;27;(45.1, 39.0);34.0;8.0;51.0;70.0;{'Качество дорожного покрытия': 3}
155;Другие нарушения ПДД водителями 3. Неправильный выбор дистанции 3. Нарушение правил обгона 1. Выезд на полосу встречного движения 1. Несоблюдение очередности проезда 4. Нарушение правил расположения ТС на проезжей части 2. ;14;(53.5, 43.6);27.0;2.0;31.0;53.0;{'Качество дорожного покрытия': 1}
163;Неправильный выбор дистанции 6. Выезд на полосу встречного движения в местах, где это запрещено 7. Нарушение правил проезда пешеходного перехода 6. Нарушение требований сигналов светофора 1. Несоблюдение бокового интервала 1. Превышение установленной скорости движения 1. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 4. Несоблюдение очередности проезда 5. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 2. Нарушение правил остановки и стоянки 1. Нарушение правил перестроения 2. Несоответствие скорости конкретным условиям движения 2. Выезд на полосу встречного движения 1. Другие нарушения ПДД водителями 1. ;40;(44.7, 37.7);48.0;4.0;70.0;95.0;{'Качество дорожного покрытия': 1, 'Пешеходная инфраструктура': 1}
183;Выезд на полосу встречного движения 2. Несоблюдение очередности проезда 1. Другие нарушения ПДД водителями 1. Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара 1. ;5;(56.0, 93.0);14.0;2.0;8.0;16.0;{'Дорожные знаки и светофоры': 1, 'Пешеходная инфраструктура': 1}
