15;Неправильный выбор дистанции 1. Превышение установленной скорости движения 4. Нахождение на проезжей части без цели её перехода 1. Несоответствие скорости конкретным условиям движения 1. Иные нарушения ПДД пешеходом 1. Нарушение правил расположения ТС на проезжей части 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Другие нарушения ПДД водителями 1. ;11;(51.7, 94.4);11.0;2.0;10.0;20.0
16;Несоответствие скорости конкретным условиям движения 1. ;1;(57.1, 57.3);4.0;2.0;3.0;5.0
17;Неправильный выбор дистанции 1. ;1;(55.7, 46.5);1.0;0.0;2.0;2.0
18;Неправильный выбор дистанции 3. Другие нарушения ПДД водителями 3. Выезд на полосу встречного движения в местах, где это запрещено 2. Нарушение правил проезда пешеходного перехода 1. Выезд на полосу встречного движения 1. ;10;(53.0, 158.5);16.0;2.0;17.0;29.0
19;Другие нарушения ПДД водителями 1. ;1;(53.2, 105.9);0.0;1.0;1.0;2.0
20;Выезд на полосу встречного движения 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Нарушение правил расположения ТС на проезжей части 1. Другие нарушения ПДД водителями 1. Несоблюдение очередности проезда 4. Нарушение правил обгона 1. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Неправильный выбор дистанции 1. ;11;(54.8, 82.7);16.0;2.0;20.0;29.0
21;Несоблюдение бокового интервала 1. ;1;(52.9, 156.9);1.0;0.0;2.0;3.0
22;Нарушение правил расположения ТС на проезжей части 2. Другие нарушения ПДД водителями 1. ;3;(54.5, 36.5);6.0;0.0;4.0;8.0
23;Нахождение на проезжей части без цели её перехода 1. ;1;(57.4, 48.5);1.0;0.0;1.0;2.0
24;Иные нарушения ПДД пешеходом 1. ;1;(47.9, 132.6);1.0;0.0;1.0;2.0
25;Другие нарушения ПДД водителями 1. Эксплуатация технически неисправного ТС 1. ;2;(62.9, 40.2);7.0;0.0;3.0;7.0
26;Другие нарушения ПДД водителями 3. Иные нарушения ПДД пешеходом 2. Неправильный выбор дистанции 7. Выезд на полосу встречного движения 2. Несоблюдение очередности проезда 1. ;15;(53.9, 37.4);25.0;3.0;38.0;48.0
27;Другие нарушения ПДД водителями 4. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Нарушение правил проезда пешеходного перехода 2. Неправильный выбор дистанции 3. Несоответствие скорости конкретным условиям движения 1. Эксплуатация технически неисправного ТС 1. ;12;(56.1, 40.9);15.0;2.0;18.0;60.0
28;Иные нарушения ПДД пешеходом 1. ;1;(56.0, 58.2);0.0;1.0;1.0;2.0
29;Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Неправильный выбор дистанции 1. Превышение установленной скорости движения 2. ;4;(45.6, 39.5);4.0;0.0;7.0;18.0
30;Нахождение на проезжей части без цели её перехода 1. Несоответствие скорости конкретным условиям движения 1. Нарушение правил расположения ТС на проезжей части 1. ;3;(57.1, 43.9);4.0;0.0;2.0;4.0
31;Иные нарушения ПДД пешеходом 1. Другие нарушения ПДД водителями 5. Нарушение правил расположения ТС на проезжей части 3.  2. Нарушение правил проезда пешеходного перехода 1. Выезд на полосу встречного движения 2. Неправильный выбор дистанции 2. Несоответствие скорости конкретным условиям движения 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Несоблюдение бокового интервала 1. ;19;(44.5, 40.1);18.0;7.0;27.0;86.0
32;Другие нарушения ПДД водителями 6. Выезд на полосу встречного движения в местах, где это запрещено 3. Несоблюдение очередности проезда 3. Нарушение требований сигналов светофора 4. Нарушение требований дорожных знаков 1. Управление велосипедом 1. не оснащённым светоотражающими элементами 1. Неправильный выбор дистанции 4. Переход проезжей части в запрещённом месте (оборудованном пешеходными ограждениями) 1. Нарушение правил перестроения 1. Нарушение правил проезда пешеходного перехода 2. Несоблюдение бокового интервала 1. ;28;(45.0, 38.9);43.0;8.0;51.0;74.0
33;Неподчинение сигналам регулирования (пешеход) 2. Иные нарушения ПДД пешеходом 1. Нарушение правил проезда пешеходного перехода 5. Неправильный выбор дистанции 3. Другие нарушения ПДД водителями 2. Несоблюдение очередности проезда 7. Иные нарушения ПДД пассажирами 1. Выезд на полосу встречного движения 2. Несоответствие скорости конкретным условиям движения 2. ;25;(46.4, 47.9);49.0;1.0;38.0;91.0
34;Несоответствие скорости конкретным условиям движения 1. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Выезд на полосу встречного движения 2. Нарушение правил проезда пешеходного перехода 1. Другие нарушения ПДД водителями 2. Несоблюдение очередности проезда 4. Нарушение правил расположения ТС на проезжей части 1. Неправильный выбор дистанции 1. ;13;(53.1, 45.0);17.0;1.0;22.0;34.0
35;Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара 2. Нарушение правил проезда пешеходного перехода 7. Несоответствие скорости конкретным условиям движения 1. Несоблюдение бокового интервала 2. Движение во встречном направлении по дороге с односторонним движением 1. Неправильный выбор дистанции 3. Нарушение правил расположения ТС на проезжей части 3. Выезд на полосу встречного движения в местах, где это запрещено 2. ;22;(43.4, 39.9);22.0;3.0;29.0;87.0
36;Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Выезд на полосу встречного движения в местах, где это запрещено 1. Другие нарушения ПДД водителями 5. Нарушение правил проезда пешеходного перехода 1. Нарушение правил обгона 1. Несоблюдение очередности проезда 1. Выезд на полосу встречного движения 1. ;11;(45.4, 40.6);15.0;3.0;17.0;36.0
37;Другие нарушения ПДД водителями 3. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Нарушение правил проезда пешеходного перехода 1. Несоответствие скорости конкретным условиям движения 1. Выезд на полосу встречного движения с разворотом 1. поворотом налево или объездом препятствия 1. Иные нарушения ПДД пешеходом 1. ;9;(57.4, 42.0);20.0;1.0;10.0;25.0
38;Несоблюдение очередности проезда 4. Несоблюдение бокового интервала 6. Нахождение на проезжей части без цели её перехода 1. Несоответствие скорости конкретным условиям движения 5. Неправильный выбор дистанции 5. Нарушение правил проезда пешеходного перехода 1. Выезд на полосу встречного движения 4. Нарушение правил расположения ТС на проезжей части 1. ;27;(44.7, 41.8);38.0;4.0;51.0;126.0
39;Нарушение правил проезда пешеходного перехода 6. Нарушение требований сигналов светофора 3. Несоответствие скорости конкретным условиям движения 3. Несоблюдение очередности проезда 3. Неправильный выбор дистанции 4. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Нарушение требований дорожных знаков 1. Выезд на полосу встречного движения 1. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. ;24;(56.3, 38.1);31.0;0.0;44.0;64.0
40;Выезд на полосу встречного движения 3. Несоответствие скорости конкретным условиям движения 1. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. ;5;(59.1, 56.7);6.0;0.0;8.0;22.0
41;Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 2. Несоответствие скорости конкретным условиям движения 2. Нарушение правил перестроения 2. Нарушение правил проезда пешеходного перехода 4. Выезд на полосу встречного движения 2. Несоблюдение очередности проезда 5. Неправильный выбор дистанции 8. Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара 1. Другие нарушения ПДД водителями 2. ;28;(56.0, 40.2);39.0;3.0;59.0;79.0
42;Несоответствие скорости конкретным условиям движения 6. Выезд на полосу встречного движения 4. Иные нарушения ПДД пешеходом 2. Нарушение правил проезда пешеходного перехода 3. Нарушение правил расположения ТС на проезжей части 4. Неправильный выбор дистанции 3. Несоблюдение очередности проезда 7. Превышение установленной скорости движения 4. Нарушение правил перестроения 1. Несоблюдение бокового интервала 2. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. ;37;(56.2, 44.0);39.0;2.0;50.0;121.0
43;Несоответствие скорости конкретным условиям движения 4. Выезд на полосу встречного движения 4. Несоблюдение бокового интервала 1. Нарушение правил расположения ТС на проезжей части 1. Превышение установленной скорости движения 1. ;11;(56.5, 43.4);14.0;2.0;12.0;19.0
44;Несоответствие скорости конкретным условиям движения 1. ;1;(58.3, 51.1);1.0;0.0;1.0;12.0
45;Выезд на полосу встречного движения 2. Несоответствие скорости конкретным условиям движения 1. Выезд на полосу встречного движения в местах, где это запрещено 2. ;5;(57.7, 40.0);14.0;1.0;8.0;16.0
46;Несоответствие скорости конкретным условиям движения 2. Выезд на полосу встречного движения 3. Другие нарушения ПДД водителями 1. ;6;(57.1, 54.1);10.0;0.0;9.0;15.0
47;Несоответствие скорости конкретным условиям движения 2. Выезд на полосу встречного движения 4. Нарушение правил расположения ТС на проезжей части 2. ;8;(56.0, 40.5);16.0;2.0;14.0;33.0
48;Нарушение правил проезда пешеходного перехода 1. Нарушение правил обгона 1. Иные нарушения ПДД пешеходом 1. Несоблюдение очередности проезда 1. Нарушение правил расположения ТС на проезжей части 1. ;5;(60.9, 46.4);4.0;2.0;8.0;23.0
49;Выезд на полосу встречного движения 5. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 2. Нарушение правил расположения ТС на проезжей части 1. Несоблюдение очередности проезда 2. Другие нарушения ПДД водителями 2. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Неподчинение сигналам регулирования (пешеход) 1. Неправильный выбор дистанции 1. Несоответствие скорости конкретным условиям движения 1. ;16;(56.0, 93.1);18.0;5.0;28.0;59.0
50;Выезд на полосу встречного движения в местах, где это запрещено 1. Неправильный выбор дистанции 1. Несоответствие скорости конкретным условиям движения 1. Выезд на полосу встречного движения 1. ;4;(58.6, 49.6);12.0;3.0;7.0;15.0
51;Другие нарушения ПДД водителями 5. Неправильный выбор дистанции 3. Нарушение правил перестроения 1. Иные нарушения ПДД пешеходом 2. Несоблюдение очередности проезда 1. Превышение установленной скорости движения 2. ;14;(47.5, 39.9);21.0;1.0;26.0;68.0
52;Выезд на полосу встречного движения 1. Неправильный выбор дистанции 1. Несоответствие скорости конкретным условиям движения 1. Превышение установленной скорости движения 4. Нарушение правил перестроения 1. Несоблюдение очередности проезда 1. Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара 1. ;10;(54.9, 37.5);18.0;2.0;21.0;38.0
53;Несоблюдение бокового интервала 1. Другие нарушения ПДД водителями 1. ;2;(47.2, 38.7);2.0;0.0;3.0;14.0
54;Нарушение правил расположения ТС на проезжей части 5. Нарушение правил обгона 1. ;6;(46.3, 44.0);7.0;2.0;8.0;36.0
55;Нарушение правил расположения ТС на проезжей части 1. Выезд на полосу встречного движения 1. Выезд на полосу встречного движения в местах, где это запрещено 1. ;3;(44.3, 41.2);4.0;0.0;7.0;16.0
56; 1. Выезд на полосу встречного движения 1. Несоответствие скорости конкретным условиям движения 1. Нарушение правил расположения ТС на проезжей части 1. Другие нарушения ПДД водителями 1. ;5;(61.2, 75.3);5.0;3.0;7.0;44.0
57;Несоответствие скорости конкретным условиям движения 2. Иные нарушения ПДД пешеходом 1. ;3;(57.1, 57.1);3.0;1.0;3.0;17.0
58;Выезд на полосу встречного движения 4. Неправильный выбор дистанции 3. Несоблюдение очередности проезда 2. Нарушение правил расположения ТС на проезжей части 3. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1.  1. Неожиданный выход из-за ТС 1. ;15;(50.5, 40.0);16.0;3.0;27.0;45.0
59;Несоблюдение очередности проезда 1. Нахождение на проезжей части без цели её перехода 1. Нарушение правил перестроения 1. Выезд на полосу встречного движения в местах, где это запрещено 1. Неправильный выбор дистанции 1. Выезд на полосу встречного движения 1. Несоответствие скорости конкретным условиям движения 1. ;7;(44.8, 37.9);10.0;2.0;20.0;21.0
60;Нарушение правил расположения ТС на проезжей части 1. Выезд на полосу встречного движения с разворотом 1. поворотом налево или объездом препятствия 1. Выезд на полосу встречного движения в местах, где это запрещено 2. Несоответствие скорости конкретным условиям движения 4. Другие нарушения ПДД водителями 8. Выезд на полосу встречного движения 2. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Иные нарушения ПДД пешеходом 2. Нарушение правил проезда пешеходного перехода 1. Несоблюдение очередности проезда 2. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Неправильный выбор дистанции 1. Эксплуатация технически неисправного ТС 1. ;28;(58.4, 49.7);33.0;4.0;37.0;100.0
61;Нарушение правил расположения ТС на проезжей части 2. ;2;(58.2, 40.0);3.0;2.0;5.0;6.0
62;Превышение установленной скорости движения 1. Несоблюдение очередности проезда 1. ;2;(56.3, 70.4);2.0;1.0;4.0;6.0
63;Другие нарушения ПДД водителями 1. ;1;(53.2, 54.1);1.0;0.0;2.0;5.0
64;Иные нарушения ПДД пассажирами 1. Несоответствие скорости конкретным условиям движения 2. Другие нарушения ПДД водителями 2. Нахождение на проезжей части без цели её перехода 1. Несоблюдение очередности проезда 1. ;7;(68.1, 33.3);7.0;0.0;8.0;23.0
